,Name,Lat,Lon,Temp,Cloudiness,Humidity,Wind
499,krasnyy oktyabr,56.12,38.88,41.03,86,91,1.45
500,bandundu,-3.32,17.38,72.89,100,92,3.32
501,cananea,30.98,-110.3,75.0,1,56,2.6
502,bilibino,68.06,166.44,20.69,100,96,2.13
503,cabo san lucas,22.89,-109.91,88.0,40,69,3.6
504,malpe,13.35,74.72,80.6,40,83,1.48
505,yar-sale,66.83,70.83,30.23,64,97,0.76
506,sokoto,13.06,5.24,91.07,0,36,2.53
507,khvatovka,52.36,46.55,41.03,32,73,1.31
508,lorengau,-2.02,147.27,78.47,29,82,1.04
509,lubartow,51.46,22.61,59.0,0,87,1.5
510,kardla,58.44,26.57,53.01,70,81,3.1
511,nizip,37.01,37.79,78.8,0,41,3.6
512,constitucion,23.99,-104.67,71.01,90,60,4.89
513,poum,41.28,20.71,66.2,0,72,0.85
514,dashitou,43.3,128.5,57.41,0,78,3.39
515,lokosovo,61.13,74.84,30.95,50,83,0.77
516,borisoglebskiy,57.26,39.15,41.0,90,86,1.0
517,lagoa,37.14,-8.45,82.0,0,53,3.6
518,manaure,11.78,-72.45,93.2,20,52,8.2
519,mezhova,48.26,36.73,58.13,70,62,2.97
520,ulladulla,-35.36,150.48,53.6,90,76,3.1
521,iguape,-24.7,-47.56,66.05,93,66,2.78
522,raymond,49.47,-112.67,28.99,90,86,6.2
523,wagar,31.44,-87.99,90.0,0,62,0.89
524,sept-iles,50.2,-66.38,51.01,90,87,2.6
525,reporoa,-38.44,176.35,46.0,78,1,0.45
526,birjand,32.86,59.22,75.2,0,8,3.1
527,fairlie,33.31,-95.96,90.0,75,55,6.2
528,ratholo,-22.72,27.57,68.03,36,10,1.62
529,sharkan,57.3,53.87,35.01,61,75,1.59
530,buin,-33.73,-70.74,72.0,0,33,1.0
531,yenagoa,4.92,6.26,75.23,77,92,2.99
532,araouane,18.9,-3.53,102.77,0,8,3.48
533,carauari,-4.88,-66.9,94.31,83,43,0.7
534,puerto escondido,15.86,-97.07,80.6,90,69,6.29
535,tayu,35.06,136.67,75.0,75,78,1.5
536,guerrero negro,27.97,-114.04,69.11,100,81,6.55
537,rybachiy,48.71,44.74,57.0,0,54,2.0
538,lingao,19.91,109.69,78.83,0,68,2.19
539,naze,5.43,7.07,77.0,75,94,1.5
540,trairi,-3.28,-39.27,93.23,0,31,5.3
541,ubinskoye,55.31,79.68,36.17,86,69,3.66
542,neustrelitz,53.36,13.06,60.01,56,75,3.58
543,graaff-reinet,-32.25,24.53,60.83,68,82,9.38
544,great yarmouth,52.61,1.73,64.99,20,77,5.7
545,carupano,10.67,-63.26,89.45,1,51,3.13
546,kemin,42.79,75.7,54.71,72,52,0.91
547,san cristobal,14.68,-86.92,84.41,100,60,0.8
548,kupang,-10.16,123.6,75.41,65,75,4.2
549,douglas,58.28,-134.39,41.0,40,59,1.44
550,hervey bay,-25.3,152.85,66.0,90,88,2.1
551,adrar,27.87,-0.29,109.4,40,10,4.6
552,batesville,35.77,-91.64,84.0,90,83,3.1
